Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Dan Henderson,def.,Tim Boetsch,KO (punches),1,0:28
Heavyweight,Ben Rothwell,def.,Matt Mitrione,Submission (guillotine choke),1,1:54
Catchweight (159.5 lbs),Dustin Poirier,def.,Yancy Medeiros,TKO (body kick and punches),1,2:38
Featherweight,Brian Ortega,def.,Thiago Tavares,TKO (punches),3,4:10
Bantamweight,Anthony Birchak,def.,Joe Soto,KO (punches),1,1:37
Bantamweight,Francisco Rivera,def.,Alex Caceres,KO (punches),1,0:21
Heavyweight,Shawn Jordan,def.,Derrick Lewis,TKO (hook kick and punches),2,0:48
Welterweight,Omari Akhmedov,def.,Brian Ebersole,TKO (knee injury),1,5:00
Lightweight,Chris Wade,def.,Christos Giagos,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Lightweight,Joe Proctor,def.,Justin Edwards,Technical Submission (guillotine choke),3,4:58
Middleweight,Jake Collier,def.,Ricardo Abreu,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Catchweight (137 lbs),José Alberto Quiñónez,def.,Leonardo Morales,Submission (rear-naked choke),1,2:34
