Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Mark Muñoz,def.,Chris Leben,TKO (corner stoppage),2,5:00
Bantamweight,Renan Barão,def.,Brad Pickett,Submission (rear-naked choke),1,4:09
Welterweight,Thiago Alves,def.,Papy Abedi,Submission (rear-naked choke),1,3:32
Light Heavyweight,Anthony Perosh,def.,Cyrille Diabaté,Submission (rear-naked choke),2,3:09
Lightweight,Terry Etim,def.,Edward Faaloloto,Submission (guillotine choke),1,0:17
Welterweight,John Maguire,def.,Justin Edwards,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Phil De Fries,def.,Rob Broughton,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Michihiro Omigawa,def.,Jason Young,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Che Mills,def.,Chris Cope,TKO (knees and punches),1,0:40
Bantamweight,Chris Cariaso,def.,Vaughan Lee,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
