Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Frankie Edgar (c),vs.,Gray Maynard,"Draw (split) (46–48, 48–46, 47–47)",5,5:00
Middleweight,Brian Stann,def.,Chris Leben,TKO (knee and punches),1,3:37
Light Heavyweight,Thiago Silva,vs.,Brandon Vera,No Contest (overturned),3,5:00
Welterweight,Dong Hyun Kim,def.,Nate Diaz,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Clay Guida,def.,Takanori Gomi,Submission (guillotine choke),2,4:27
Lightweight,Jeremy Stephens,def.,Marcus Davis,KO (punch),3,2:33
Featherweight,Dustin Poirier,def.,Josh Grispi,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Brad Tavares,def.,Phil Baroni,KO (knees and punches),1,4:20
Featherweight,Diego Nunes,def.,Mike Brown,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Daniel Roberts,def.,Greg Soto,Submission (kimura),1,3:45
Lightweight,Jacob Volkmann,def.,Antonio McKee,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
