Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Michael Bisping,def.,Cung Le,TKO (knee and punches),4,0:57
Welterweight,Tyron Woodley,def.,Dong Hyun Kim,TKO (punches),1,1:01
Lightweight,Zhang Lipeng,def.,Brendan O'Reilly,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Featherweight,Ning Guangyou,def.,Jianping Yang,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Wang Sai,def.,Danny Mitchell,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Alberto Mina,def.,Shinsho Anzai,TKO (punches),1,4:17
Bantamweight,Yuta Sasaki,def.,Roland Delorme,Submission (rear-naked choke),1,1:06
Welterweight,Colby Covington,def.,Anying Wang,Submission (strikes),1,4:50
Bantamweight,Royston Wee,def.,Yao Zhikui,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
Women's Bantamweight,Milana Dudieva,def.,Elizabeth Phillips,"Decision (split) (30–27, 28–29, 29–28)",3,5:00
