Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Jake Shields,def.,Demian Maia,"Decision (split) (48–47, 47–48, 48–47)",5,5:00
Welterweight,Dong Hyun Kim,def.,Erick Silva,KO (punch),2,3:01
Catchweight (208 lbs),Thiago Silva,def.,Matt Hamill,"Decision (unanimous) (30–27, 30–27, 29–27)",3,5:00
Light Heavyweight,Fabio Maldonado,def.,Joey Beltran,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Welterweight,Rousimar Palhares,def.,Mike Pierce,Submission (heel hook),1,0:31
Bantamweight,Raphael Assunção,def.,T.J. Dillashaw,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Welterweight,Igor Araújo,def.,Ildemar Alcantara,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Yan Cabral,def.,David Mitchell,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Chris Cariaso,def.,Iliarde Santos,TKO (punches),2,4:31
Lightweight,Alan Patrick,def.,Garett Whiteley,TKO (punches),1,3:54
