Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Bantamweight,Renan Barão (c),def.,Urijah Faber,TKO (punches),1,3:42
Featherweight,José Aldo (c),def.,Ricardo Lamas,"Decision (unanimous) (49–46, 49–46, 49–46)",5,5:00
Heavyweight,Alistair Overeem,def.,Frank Mir,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Ali Bagautinov,def.,John Lineker,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Abel Trujillo,def.,Jamie Varner,KO (punch),2,2:32
Lightweight,Alan Patrick,def.,John Makdessi,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Flyweight,Chris Cariaso,def.,Danny Martinez,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Nick Catone,def.,Tom Watson,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
Lightweight,Al Iaquinta,def.,Kevin Lee,"Decision (unanimous) (29–28, 29–28, 28–27)",3,5:00
Middleweight,Clint Hester,def.,Andy Enz,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Lightweight,Rashid Magomedov,def.,Tony Martin,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Neil Magny,def.,Gasan Umalatov,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
