Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Forrest Griffin,def.,Quinton Jackson (c),"Decision (unanimous) (48–46, 48–46, 49–46)",5,5:00
Middleweight,Patrick Côté,def.,Ricardo Almeida,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Lightweight,Joe Stevenson,def.,Gleison Tibau,Submission (guillotine choke),2,2:57
Welterweight,Josh Koscheck,def.,Chris Lytle,"Decision (unanimous) (30–26, 29–27, 30–27)",3,5:00
Lightweight,Tyson Griffin,def.,Marcus Aurélio,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Gabriel Gonzaga,def.,Justin McCully,Submission (Americana),1,1:57
Lightweight,Melvin Guillard,def.,Dennis Siver,KO (punches),1,0:36
Lightweight,Cole Miller,def.,Jorge Gurgel,Submission (triangle choke),3,4:48
Lightweight,Justin Buchholz,def.,Corey Hill,Submission (rear-naked choke),2,3:57
