Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Joe Lauzon,def.,Jeremy Stephens,Submission (armbar),2,4:43
Heavyweight,Cain Velasquez,def.,Denis Stojnić,TKO (punches),2,2:34
Lightweight,Josh Neer,def.,Mac Danzig,Submission (triangle choke),2,3:36
Welterweight,Anthony Johnson,def.,Luigi Fioravanti,TKO (punches),1,4:39
Lightweight,Kurt Pellegrino,def.,Rob Emerson,Submission (rear-naked choke),2,3:14
Middleweight,Dan Miller,def.,Jake Rosholt,Submission (guillotine choke),1,1:03
Lightweight,Matt Veach,def.,Matt Grice,TKO (punches),1,4:34
Lightweight,Gleison Tibau,def.,Rich Clementi,Submission (guillotine choke),1,4:35
Middleweight,Nick Catone,def.,Derek Downey,Submission (keylock),2,1:15
Welterweight,Matthew Riddle,def.,Steve Bruno,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
