Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Andrei Arlovski,def.,Antônio Silva,KO (punches),1,2:59
Lightweight,Gleison Tibau,def.,Piotr Hallmann,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Leonardo Santos,def.,Efrain Escudero,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Santiago Ponzinibbio,def.,Wendell Oliveira,TKO (punches),1,1:20
Bantamweight,Iuri Alcântara,def.,Russell Doane,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Bantamweight,Jéssica Andrade,def.,Larissa Pacheco,Submission (guillotine choke),1,4:33
Featherweight,Godofredo Pepey,def.,Dashon Johnson,Submission (triangle armbar),1,4:29
Welterweight,George Sullivan,def.,Igor Araújo,KO (punches),2,2:31
Lightweight,Francisco Trinaldo,def.,Leandro Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Sean Spencer,def.,Paulo Thiago,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Rani Yahya,def.,Johnny Bedford,Submission (kimura),2,2:04
