Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Anthony Smith,def.,Volkan Oezdemir,Submission (rear-naked choke),3,4:26
Catchweight (147 lbs),Michael Johnson,def.,Artem Lobov,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Light Heavyweight,Misha Cirkunov,def.,Patrick Cummins,Submission (arm-triangle choke),1,2:40
Bantamweight,Andre Soukhamthath,def.,Jonathan Martinez,"Decision (unanimous) (30–26, 29–28, 29–28)",3,5:00
Light Heavyweight,Gian Villante,def.,Ed Herman,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Court McGee,def.,Alex Garcia,"Decision (unanimous) (29–28, 29–28, 30–28)",3,5:00
Welterweight,Sean Strickland,def.,Nordine Taleb,TKO (punches),2,3:10
Lightweight,Nasrat Haqparast,def.,Thibault Gouti,"Decision (unanimous) (29–27, 29–28, 30–26)",3,5:00
Featherweight,Calvin Kattar,def.,Chris Fishgold,TKO (punches),1,4:11
Women's Bantamweight,Talita Bernardo,def.,Sarah Moras,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Lightweight,Don Madge,def.,Te Edwards,KO (head kick),2,0:14
Heavyweight,Arjan Bhullar,def.,Marcelo Golm,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00
Lightweight,Stevie Ray,def.,Jessin Ayari,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
