Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Dominick Reyes,def.,Chris Weidman,KO (punches),1,1:43
Featherweight,Yair Rodríguez,def.,Jeremy Stephens,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Greg Hardy,vs.,Ben Sosoli,No Contest (overturned),3,5:00
Lightweight,Joe Lauzon,def.,Jonathan Pearce,TKO (punches),1,1:33
Women's Flyweight,Maycee Barber,def.,Gillian Robertson,TKO (punches),1,3:04
Catchweight (188.5 lbs),Darren Stewart,def.,Deron Winn,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Catchweight (148 lbs),Charles Rosa,def.,Manny Bermudez,Verbal Submission (armbar),1,2:46
Women's Flyweight,Molly McCann,def.,Diana Belbiţă,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Featherweight,Sean Woodson,def.,Kyle Bochniak,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00
Bantamweight,Randy Costa,def.,Boston Salmon,TKO (punches),1,2:15
Welterweight,Sean Brady,def.,Court McGee,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Middleweight,Brendan Allen,def.,Kevin Holland,Submission (rear-naked choke),2,3:38
Heavyweight,Tanner Boser,def.,Daniel Spitz,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
