Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Yair Rodríguez,def.,Chan Sung Jung,KO (elbow),5,4:59
Welterweight,Donald Cerrone,def.,Mike Perry,Submission (armbar),1,4:46
Catchweight (138 lbs),Germaine de Randamie,def.,Raquel Pennington,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Beneil Dariush,def.,Thiago Moisés,"Decision (unanimous) (30–25, 30–25, 30–26)",3,5:00
Women's Strawweight,Maycee Barber,def.,Hannah Cifers,TKO (punches),2,2:01
Lightweight,Michael Trizano,def.,Luis Peña,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
Women's Strawweight,Ashley Yoder,def.,Amanda Cooper,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
Featherweight,Bobby Moffett,def.,Chas Skelly,Technical Submission (brabo choke),2,2:43
Lightweight,Davi Ramos,def.,John Gunther,Submission (rear-naked choke),1,1:57
Lightweight,Devonte Smith,def.,Julian Erosa,KO (punches),1,0:46
Flyweight,Eric Shelton,def.,Joseph Morales,"Decision (split) (29–28, 27–30, 30–27)",3,5:00
Bantamweight,Mark De La Rosa,def.,Joby Sanchez,"Decision (split) (29–28, 28–29, 30–27)",3,5:00
