Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Zabit Magomedsharipov,def.,Calvin Kattar,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Alexander Volkov,def.,Greg Hardy,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Danny Roberts,def.,Zelim Imadaev,KO (punch),2,4:54
Light Heavyweight,Ed Herman,def.,Khadis Ibragimov,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,Anthony Rocco Martin,def.,Ramazan Emeev,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Light Heavyweight,Shamil Gamzatov,def.,Klidson Abreu,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Light Heavyweight,Magomed Ankalaev,def.,Dalcha Lungiambula,KO (front kick and punch),3,0:29
Welterweight,Rustam Khabilov,def.,Sergey Khandozhko,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Middleweight,Karl Roberson,def.,Roman Kopylov,Submission (rear-naked choke),3,4:01
Welterweight,David Zawada,def.,Abubakar Nurmagomedov,Submission (triangle choke),1,2:50
Lightweight,Roosevelt Roberts,def.,Alexander Yakovlev,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Bantamweight,Pannie Kianzad,def.,Jessica-Rose Clark,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Davey Grant,def.,Grigorii Popov,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
