Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Max Holloway (c),def.,Frankie Edgar,"Decision (unanimous) (50–45, 49–46, 48–47)",5,5:00
Women's Featherweight,Cris Cyborg,def.,Felicia Spencer,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Geoff Neal,def.,Niko Price,TKO (punches),2,2:39
Lightweight,Arman Tsarukyan,def.,Olivier Aubin-Mercier,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Krzysztof Jotko,def.,Marc-André Barriault,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Women's Flyweight,Viviane Araújo,def.,Alexis Davis,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Hakeem Dawodu,def.,Yoshinori Horie,TKO (head kick),3,4:09
Featherweight,Gavin Tucker,def.,Seung Woo Choi,Submission (rear-naked choke),3,3:17
Flyweight,Deiveson Figueiredo,def.,Alexandre Pantoja,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Flyweight,Gillian Robertson,def.,Sarah Frota,TKO (elbows),2,4:13
Welterweight,Erik Koch,def.,Kyle Stewart,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
