Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Catchweight (174.5 lbs),Darren Till,def.,Stephen Thompson,"Decision (unanimous) (48–47, 49–46, 49–46)",5,5:00
Welterweight,Neil Magny,def.,Craig White,TKO (knee and punches),1,4:32
Featherweight,Arnold Allen,def.,Mads Burnell,Submission (front choke),3,2:41
Featherweight,Makwan Amirkhani,def.,Jason Knight,"Decision (split) (27–30, 29–28, 29–28)",3,5:00
Welterweight,Cláudio Silva,def.,Nordine Taleb,Submission (rear-naked choke),1,4:31
Middleweight,Darren Stewart,def.,Eric Spicely,TKO (punches),2,1:47
Middleweight,Tom Breese,def.,Dan Kelly,TKO (punches),1,3:33
Women's Bantamweight,Lina Länsberg,def.,Gina Mazany,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,Carlo Pedersoli Jr.,def.,Brad Scott,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Catchweight (127 lbs),Gillian Robertson,def.,Molly McCann,Technical Submission (rear-naked choke),2,2:05
Middleweight,Elias Theodorou,def.,Trevor Smith,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
