Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Bantamweight,Valentina Shevchenko,def.,Julianna Peña,Submission (armbar),2,4:29
Welterweight,Jorge Masvidal,def.,Donald Cerrone,TKO (punches),2,1:00
Heavyweight,Francis Ngannou,def.,Andrei Arlovski,TKO (punches),1,1:32
Featherweight,Jason Knight,def.,Alex Caceres,Submission (rear-naked choke),2,4:21
Middleweight,Sam Alvey,def.,Nate Marquardt,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Raphael Assunção,def.,Aljamain Sterling,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Welterweight,Li Jingliang,def.,Bobby Nash,KO (punches),2,4:45
Light Heavyweight,Jordan Johnson,def.,Henrique da Silva,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Eric Spicely,def.,Alessio Di Chirico,Submission (triangle choke),1,2:14
Catchweight (209.5 lbs),Marcos Rogério de Lima,def.,Jeremy Kimball,TKO (punches),1,2:27
Flyweight,Alexandre Pantoja,def.,Eric Shelton,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Lightweight,Jason Gonzalez,def.,J.C. Cottrell,Submission (D'arce choke),1,3:54
