Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Bantamweight,Ronda Rousey (c),def.,Cat Zingano,Submission (straight armbar),1,0:14
Women's Bantamweight,Holly Holm,def.,Raquel Pennington,"Decision (split) (29–28, 28–29, 30–27)",3,5:00
Welterweight,Jake Ellenberger,def.,Josh Koscheck,Submission (north-south choke),2,4:20
Welterweight,Alan Jouban,def.,Richard Walsh,KO (elbow and punches),1,2:19
Lightweight,Tony Ferguson,def.,Gleison Tibau,Submission (rear-naked choke),1,2:37
Middleweight,Roan Carneiro,def.,Mark Muñoz,Technical Submission (rear-naked choke),1,1:40
Bantamweight,Roman Salazar,vs.,Norifumi Yamamoto,No Contest (accidental eye poke),2,2:37
Welterweight,Tim Means,def.,Dhiego Lima,TKO (punches),1,2:17
Heavyweight,Derrick Lewis,def.,Ruan Potts,TKO (punches),2,3:18
Lightweight,Valmir Lázaro,def.,James Krause,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Masio Fullen,def.,Alex Torres,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
