Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Georges St-Pierre,def.,Matt Hughes,Verbal Submission (armbar),2,4:54
Light Heavyweight,Chuck Liddell,def.,Wanderlei Silva,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Heavyweight,Eddie Sanchez,def.,Soa Palelei,TKO (punches),3,3:24
Light Heavyweight,Lyoto Machida,def.,Rameau Thierry Sokoudjou,Submission (arm-triangle choke),2,4:20
Lightweight,Rich Clementi,def.,Melvin Guillard,Submission (rear-naked choke),1,4:40
Light Heavyweight,James Irvin,def.,Luiz Cane,Disqualification (illegal knee),1,1:51
Lightweight,Manvel Gamburyan,def.,Nate Mohr,Submission (ankle lock),1,1:31
Middleweight,Dean Lister,def.,Jordan Radev,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Roan Carneiro,def.,Tony DeSouza,TKO (punches),2,3:33
Lightweight,Mark Bocek,def.,Doug Evans,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
