Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Maurício Rua,def.,Brandon Vera,TKO (punches),4,4:09
Light Heavyweight,Lyoto Machida,def.,Ryan Bader,KO (punch),2,1:32
Lightweight,Joe Lauzon,def.,Jamie Varner,Submission (triangle choke),3,2:44
Welterweight,Mike Swick,def.,DaMarques Johnson,KO (punches),2,1:20
Featherweight,Nam Phan,def.,Cole Miller,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Light Heavyweight,Wagner Prado,vs.,Phil Davis,No Contest,1,1:28
Featherweight,Rani Yahya,def.,Josh Grispi,Submission (north-south choke),1,3:15
Heavyweight,Phil De Fries,def.,Oli Thompson,Submission (face crank),2,4:16
Featherweight,Manvel Gamburyan,def.,Michihiro Omigawa,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Flyweight,John Moraga,def.,Ulysses Gomez,KO (elbows and punches),1,3:46
