Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Mirko Cro Cop,def.,Gabriel Gonzaga,TKO (elbows and punches),3,3:30
Light Heavyweight,Jimi Manuwa,def.,Jan Błachowicz,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,Pawel Pawlak,def.,Sheldon Westcott,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Strawweight,Maryna Moroz,def.,Joanne Calderwood,Submission (armbar),1,1:30
Welterweight,Leon Edwards,def.,Seth Baczynski,KO (punches),1,0:08
Middleweight,Bartosz Fabiński,def.,Garreth McLellan,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Sérgio Moraes,def.,Mickaël Lebout,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Yaotzin Meza,def.,Damian Stasiak,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Heavyweight,Anthony Hamilton,def.,Daniel Omielańczuk,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00
Women's Strawweight,Aleksandra Albu,def.,Izabela Badurek,Submission (guillotine choke),2,3:34
Lightweight,Stevie Ray,def.,Marcin Bandel,TKO (punches),2,1:35
Featherweight,Taylor Lapilus,def.,Rocky Lee,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
