Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Junior dos Santos,def.,Cain Velasquez (c),KO (punches),1,1:04
Lightweight,Benson Henderson,def.,Clay Guida,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Featherweight,Dustin Poirier,def.,Pablo Garza,Submission (D'Arce choke),2,1:32
Featherweight,Ricardo Lamas,def.,Cub Swanson,Submission (arm-triangle choke),2,2:16
Welterweight,DaMarques Johnson,def.,Clay Harvison,TKO (punches),1,1:34
Bantamweight,Darren Uyenoyama,def.,Norifumi Yamamoto,"Decision (unanimous) (30–27, 30–26, 30–27)",3,5:00
Featherweight,Robbie Peralta,vs.,Mackens Semerzier,No Contest,3,1:54
Bantamweight,Alex Caceres,def.,Cole Escovedo,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Mike Pierce,def.,Paul Bradley,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Light Heavyweight,Aaron Rosa,def.,Matt Lucas,"Decision (majority) (28–28, 30–26, 30–26)",3,5:00
