Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Luke Rockhold,def.,Lyoto Machida,Submission (rear-naked choke),2,2:31
Middleweight,Ronaldo Souza,def.,Chris Camozzi,Verbal Submission (armbar),1,2:33
Featherweight,Max Holloway,def.,Cub Swanson,Submission (guillotine choke),3,3:58
Women's Strawweight,Paige VanZant,def.,Felice Herrig,"Decision (unanimous) (30–26, 30–27, 30–26)",3,5:00
Lightweight,Beneil Dariush,def.,Jim Miller,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Ovince Saint Preux,def.,Patrick Cummins,KO (punches),1,4:54
Light Heavyweight,Gian Villante,def.,Corey Anderson,TKO (punches),3,4:18
Bantamweight,Aljamain Sterling,def.,Takeya Mizugaki,Submission (arm-triangle choke),3,2:11
Welterweight,Tim Means,def.,George Sullivan,Submission (arm-triangle choke),3,3:41
Featherweight,Diego Brandão,def.,Jimy Hettes,TKO (doctor stoppage),1,5:00
Middleweight,Chris Dempsey,def.,Eddie Gordon,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
