Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Murilo Bustamante (c),def.,Matt Lindland,Submission (guillotine choke),3,1:33
Heavyweight,Ricco Rodriguez,def.,Tsuyoshi Kosaka,TKO (punches),2,3:25
Lightweight,B.J. Penn,def.,Paul Creighton,TKO (punches),2,3:23
Middleweight,Phil Baroni,def.,Amar Suloev,TKO (punches),1,2:55
Lightweight,Caol Uno,def.,Yves Edwards,Decision (unanimous),3,5:00
Middleweight,Ivan Salaverry,def.,Andrei Semenov,TKO (punches),3,2:27
Welterweight,Benji Radach,vs.,Steve Berger,No Contest,1,0:27
Welterweight,Robbie Lawler,def.,Aaron Riley,Decision (unanimous),3,5:00
