Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Ovince Saint Preux,def.,Yushin Okami,Technical Submission (Von Flue choke),1,1:50
Women's Strawweight,Jéssica Andrade,def.,Cláudia Gadelha,"Decision (unanimous) (30–25, 30–26, 30–27)",3,5:00
Lightweight,Dong Hyun Ma,def.,Takanori Gomi,TKO (punches),1,1:30
Light Heavyweight,Gökhan Saki,def.,Henrique da Silva,KO (punch),1,4:45
Featherweight,Teruto Ishihara,def.,Rolando Dy,"Decision (unanimous) (28–27, 28–27, 29–27)",3,5:00
Flyweight,Jussier Formiga,def.,Ulka Sasaki,Submission (rear-naked choke),1,4:30
Welterweight,Keita Nakamura,def.,Alex Morono,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Women's Strawweight,Syuri Kondo,def.,Chan-Mi Jeon,"Decision (split) (28–29, 30–27, 30–27)",3,5:00
Welterweight,Shinsho Anzai,def.,Luke Jumeau,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Welterweight,Daichi Abe,def.,Hyun Gyu Lim,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
