Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jon Jones,def.,Alexander Gustafsson,TKO (punches),3,2:02
Women's Featherweight,Amanda Nunes,def.,Cris Cyborg (c),KO (punch),1,0:51
Welterweight,Michael Chiesa,def.,Carlos Condit,Submission (kimura),2,0:56
Light Heavyweight,Corey Anderson,def.,Ilir Latifi,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Alexander Volkanovski,def.,Chad Mendes,TKO (punches),2,4:14
Heavyweight,Walt Harris,vs.,Andrei Arlovski,No Contest (overturned),3,5:00
Women's Featherweight,Megan Anderson,def.,Cat Zingano,TKO (eye injury),1,1:01
Bantamweight,Petr Yan,def.,Douglas Silva de Andrade,TKO (corner stoppage),2,5:00
Lightweight,Ryan Hall,def.,B.J. Penn,Submission (heel hook),1,2:46
Bantamweight,Nathaniel Wood,def.,Andre Ewell,Submission (rear-naked choke),3,4:12
Middleweight,Uriah Hall,def.,Bevon Lewis,KO (punch),3,1:32
Welterweight,Curtis Millender,def.,Siyar Bahadurzada,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Catchweight (137 lbs),Montel Jackson,def.,Brian Kelleher,Submission (D’Arce choke),1,1:40
