Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Michael Bisping,def.,Anderson Silva,"Decision (unanimous) (48–47, 48–47, 48–47)",5,5:00
Middleweight,Gegard Mousasi,def.,Thales Leites,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Welterweight,Tom Breese,def.,Keita Nakamura,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Bantamweight,Brad Pickett,def.,Francisco Rivera,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Makwan Amirkhani,def.,Mike Wilkinson,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Bantamweight,Davey Grant,def.,Marlon Vera,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Middleweight,Scott Askham,def.,Chris Dempsey,KO (punch and head kick),1,4:45
Featherweight,Arnold Allen,def.,Yaotzin Meza,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Krzysztof Jotko,def.,Brad Scott,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Lightweight,Rustam Khabilov,def.,Norman Parke,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Daniel Omielańczuk,def.,Jarjis Danho,"Technical Decision (majority) (29–29, 29–28, 29–28)",3,1:31
Lightweight,Teemu Packalen,def.,Thibault Gouti,Submission (rear-naked choke),1,0:24
Lightweight,David Teymur,def.,Martin Svensson,TKO (head kick and punches),2,1:26
