Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Kamaru Usman,def.,Rafael dos Anjos,"Decision (unanimous) (50–43, 49–45, 48–47)",5,5:00
Heavyweight,Juan Espino Dieppa,def.,Justin Frazier,Submission (straight armlock),1,3:36
Women's Featherweight,Macy Chiasson,def.,Pannie Kianzad,Submission (rear-naked choke),2,2:11
Bantamweight,Pedro Munhoz,def.,Bryan Caraway,TKO (body kick and punches),1,2:39
Middleweight,Edmen Shahbazyan,def.,Darren Stewart,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Catchweight (130.5 lbs),Antonina Shevchenko,def.,Ji Yeon Kim,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Catchweight (148.5 lbs),Kevin Aguilar,def.,Rick Glenn,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Joseph Benavidez,def.,Alex Perez,TKO (punches),1,4:19
Heavyweight,Maurice Greene,def.,Michel Batista,Submission (triangle choke),1,2:14
Women's Featherweight,Leah Letson,def.,Julija Stoliarenko,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Lightweight,Roosevelt Roberts,def.,Darrell Horcher,Submission (guillotine choke),1,4:50
Welterweight,Tim Means,def.,Ricky Rainey,TKO (punches),1,1:18
Bantamweight,Raoni Barcelos,def.,Chris Gutiérrez,Submission (rear-naked choke),2,4:12
