Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jon Jones (c),def.,Thiago Santos,"Decision (split) (47–48, 48–47, 48–47)",5,5:00
Women's Bantamweight,Amanda Nunes (c),def.,Holly Holm,TKO (head kick and punches),1,4:10
Welterweight,Jorge Masvidal,def.,Ben Askren,KO (flying knee),1,0:05
Light Heavyweight,Jan Błachowicz,def.,Luke Rockhold,KO (punches),2,1:39
Welterweight,Michael Chiesa,def.,Diego Sanchez,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Featherweight,Arnold Allen,def.,Gilbert Melendez,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Marlon Vera,def.,Nohelin Hernandez,Submission (rear-naked choke),2,3:25
Women's Strawweight,Cláudia Gadelha,def.,Randa Markos,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Yadong Song,def.,Alejandro Pérez,KO (punch),1,2:04
Middleweight,Edmen Shahbazyan,def.,Jack Marshman,Submission (rear-naked choke),1,1:12
Welterweight,Chance Rencountre,def.,Ismail Naurdiev,"Decision (unanimous) (29–27, 29–28, 30–27)",3,5:00
Women's Bantamweight,Julia Avila,def.,Pannie Kianzad,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00
