Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Maurício Rua,def.,Lyoto Machida (c),KO (punches),1,3:35
Welterweight,Josh Koscheck,def.,Paul Daley,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Jeremy Stephens,def.,Sam Stout,"Decision (split) (30–27, 29–28, 28–29)",3,5:00
Heavyweight,Matt Mitrione,def.,Kimbo Slice,TKO (punches),2,4:24
Middleweight,Alan Belcher,def.,Patrick Côté,Submission (rear-naked choke),2,3:25
Middleweight,Joe Doerksen,def.,Tom Lawlor,Submission (rear-naked choke),2,2:10
Welterweight,Marcus Davis,def.,Jonathan Goulet,TKO (punches),2,1:23
Welterweight,Johny Hendricks,def.,TJ Grant,"Decision (majority) (29–27, 29–27, 28–28)",3,5:00
Heavyweight,Joey Beltran,def.,Tim Hague,"Decision (unanimous) (30–27, 30–26, 29–28)",3,5:00
Welterweight,Mike Guymon,def.,Yoshiyuki Yoshida,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,John Salter,def.,Jason MacDonald,TKO (ankle injury),1,2:42
