Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Strawweight,Joanna Jędrzejczyk (c),def.,Cláudia Gadelha,"Decision (unanimous) (48–46, 48–45, 48–46)",5,5:00
Light Heavyweight,Andrew Sanchez,def.,Khalil Rountree,"Decision (unanimous) (30–25, 30–25, 30–26)",3,5:00
Women's Strawweight,Tatiana Suarez,def.,Amanda Cooper,Submission (D'Arce choke),1,3:43
Lightweight,Will Brooks,def.,Ross Pearson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Doo Ho Choi,def.,Thiago Tavares,KO (punches),1,2:42
Lightweight,Joaquim Silva,def.,Andrew Holbrook,KO (punches),1,0:34
Featherweight,Gray Maynard,def.,Fernando Bruno,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Matheus Nicolau,def.,John Moraga,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Light Heavyweight,Josh Stansbury,def.,Cory Hendricks,"Decision (majority) (29–27, 29–27, 28–28)",3,5:00
Middleweight,Cezar Ferreira,def.,Anthony Smith,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Kevin Lee,def.,Jake Matthews,TKO (punches),1,4:06
Welterweight,Li Jingliang,def.,Anton Zafir,KO (punches),1,2:46
