Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Kamaru Usman (c),def.,Colby Covington,TKO (punches),5,4:10
Featherweight,Alexander Volkanovski,def.,Max Holloway (c),"Decision (unanimous) (48–47, 48–47, 50–45)",5,5:00
Women's Bantamweight,Amanda Nunes (c),def.,Germaine de Randamie,"Decision (unanimous) (49–44, 49–46, 49–45)",5,5:00
Bantamweight,Marlon Moraes,def.,José Aldo,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Bantamweight,Petr Yan,def.,Urijah Faber,KO (head kick),3,0:43
Welterweight,Geoff Neal,def.,Mike Perry,TKO (head kick and punches),1,1:30
Women's Bantamweight,Irene Aldana,def.,Ketlen Vieira,KO (punches),1,4:51
Middleweight,Omari Akhmedov,def.,Ian Heinisch,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Matt Brown,def.,Ben Saunders,KO (elbow and punches),2,4:55
Featherweight,Chase Hooper,def.,Daniel Teymur,TKO (elbows),1,4:34
Flyweight,Brandon Moreno,def.,Kai Kara-France,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Catchweight (131 lbs),Jessica Eye,def.,Viviane Araújo,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Punahele Soriano,def.,Oskar Piechota,KO (punch),1,3:17
