Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Israel Adesanya (c),def.,Yoel Romero,"Decision (unanimous) (48–47, 48–47, 49–46)",5,5:00
Women's Strawweight,Zhang Weili (c),def.,Joanna Jędrzejczyk,"Decision (split) (48–47, 47–48, 48–47)",5,5:00
Lightweight,Beneil Dariush,def.,Drakkar Klose,KO (punch),2,1:00
Welterweight,Neil Magny,def.,Li Jingliang,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Alex Oliveira,def.,Max Griffin,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Bantamweight,Sean O'Malley,def.,José Alberto Quiñónez,TKO (head kick and punches),1,2:02
Lightweight,Mark Madsen,def.,Austin Hubbard,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Rodolfo Vieira,def.,Saparbek Safarov,Submission (arm-triangle choke),1,2:58
Middleweight,Gerald Meerschaert,def.,Deron Winn,Submission (rear-naked choke),3,2:13
Featherweight,Giga Chikadze,def.,Jamall Emmers,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Bantamweight,Danaa Batgerel,def.,Guido Cannetti,KO (punches),1,3:01
