Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Vitor Belfort,def.,Dan Henderson,KO (head kick),1,1:17
Middleweight,Cezar Ferreira,def.,Daniel Sarafian,"Decision (split) (28–29, 30–27, 30–28)",3,5:00
Light Heavyweight,Rafael Cavalcante,def.,Igor Pokrajac,Submission (strikes),1,1:18
Welterweight,Brandon Thatch,def.,Paulo Thiago,Submission (strikes),1,2:10
Welterweight,Ryan LaFlare,def.,Santiago Ponzinibbio,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Jeremy Stephens,def.,Rony Jason,KO (head kick),1,0:40
Featherweight,Sam Sicilia,def.,Godofredo Pepey,TKO (punches),1,1:42
Middleweight,Omari Akhmedov,def.,Thiago Perpétuo,KO (punches),1,3:31
Lightweight,Thiago Tavares,def.,Justin Salas,Submission (rear-naked choke),1,2:38
Lightweight,Adriano Martins,def.,Daron Cruickshank,Submission (straight armbar),2,2:49
Flyweight,Dustin Ortiz,def.,Jose Maria Tome,TKO (punches),3,3:19
