Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Catchweight (148 lbs),Max Holloway,def.,Anthony Pettis,TKO (body kick and punches),3,4:50
Welterweight,Donald Cerrone,def.,Matt Brown,KO (head kick),3,0:34
Featherweight,Cub Swanson,def.,Doo Ho Choi,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Middleweight,Kelvin Gastelum,def.,Tim Kennedy,TKO (punches),3,2:45
Welterweight,Emil Weber Meek,def.,Jordan Mein,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Misha Cirkunov,def.,Nikita Krylov,Submission (guillotine choke),1,4:38
Lightweight,Olivier Aubin-Mercier,def.,Drew Dober,Submission (rear-naked choke),2,2:57
Catchweight (117.5 lbs),Viviane Pereira,def.,Valérie Létourneau,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Bantamweight,Matthew Lopez,def.,Mitch Gagnon,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00
Lightweight,Lando Vannata,def.,John Makdessi,KO (wheel kick),1,1:40
Catchweight (158 lbs),Rustam Khabilov,def.,Jason Saggo,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Flyweight,Dustin Ortiz,def.,Zach Makovsky,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
