Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Catchweight (157 lbs),Kevin Lee,def.,Edson Barboza,TKO (doctor stoppage),5,2:18
Featherweight,Frankie Edgar,def.,Cub Swanson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Justin Willis,def.,Chase Sherman,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,David Branch,def.,Thiago Santos,KO (punches),1,2:30
Bantamweight,Aljamain Sterling,def.,Brett Johns,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Dan Hooker,def.,Jim Miller,KO (knee),1,3:00
Welterweight,Ryan LaFlare,def.,Alex Garcia,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Ricky Simon,def.,Merab Dvalishvili,TKO (technical submission),3,5:00
Welterweight,Siyar Bahadurzada,def.,Luan Chagas,KO (kick to the body and punch),2,2:40
Light Heavyweight,Corey Anderson,def.,Patrick Cummins,"Decision (unanimous) (30–26, 30–26, 30–27)",3,5:00
Welterweight,Tony Martin,def.,Keita Nakamura,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
