Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Dan Henderson,def.,Rich Franklin,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
Light Heavyweight,Maurício Rua,def.,Mark Coleman,TKO (punches),3,4:36
Middleweight,Rousimar Palhares,def.,Jeremy Horn,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Alan Belcher,def.,Denis Kang,Submission (guillotine choke),2,4:36
Welterweight,Marcus Davis,def.,Chris Lytle,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,John Hathaway,def.,Tom Egan,TKO (elbows),1,4:36
Welterweight,Martin Kampmann,def.,Alexandre Barros,TKO (punches),2,3:09
Light Heavyweight,Eric Schafer,def.,Antonio Mendes,TKO (punches),1,3:35
Light Heavyweight,Tomasz Drwal,def.,Ivan Serati,KO (punches),1,2:02
Lightweight,Dennis Siver,def.,Nate Mohr,TKO (spinning back kick and punches),3,3:47
