Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Chris Weidman (c),def.,Lyoto Machida,"Decision (unanimous) (49-45, 48-47, 49-46)",5,5:00
Women's Bantamweight,Ronda Rousey (c),def.,Alexis Davis,KO (punches),1,0:16
Middleweight,Uriah Hall,def.,Thiago Santos,"Decision (unanimous) (29-28, 29-28, 30-27)",3,5:00
Bantamweight,Russell Doane,def.,Marcus Brimage,"Decision (split) (29-28, 28-29, 30-27)",3,5:00
Bantamweight,Urijah Faber,def.,Alex Caceres,Submission (rear-naked choke),3,1:09
Welterweight,Kenny Robertson,def.,Ildemar Alcântara,"Decision (unanimous) (30-26, 30-26, 30-26)",3,5:00
Middleweight,Bruno Santos,def.,Chris Camozzi,"Decision (split) (29-28, 28-29, 29-28)",3,5:00
Bantamweight,Rob Font,def.,George Roop,KO (punch),1,2:19
Middleweight,Luke Zachrich,def.,Guilherme Vasconcelos,"Decision (unanimous) (30-27, 30-27, 29-28)",3,5:00
Middleweight,Kevin Casey,vs.,Bubba Bush,No Contest (overturned),1,1:01
