Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Ryan Bader,def.,Antônio Rogério Nogueira,TKO (punches),3,3:51
Bantamweight,Thomas Almeida,def.,Albert Morales,TKO (punches),2,1:37
Women's Strawweight,Cláudia Gadelha,def.,Cortney Casey,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Krzysztof Jotko,def.,Thales Leites,"Decision (unanimous) (29–27, 30–27, 30–27)",3,5:00
Welterweight,Kamaru Usman,def.,Warlley Alves,"Decision (unanimous) (29–27, 30–26, 29–28)",3,5:00
Welterweight,Sérgio Moraes,def.,Zak Ottow,"Decision (split) (30–27, 28–29, 30–27)",3,5:00
Middleweight,Cezar Ferreira,def.,Jack Hermansson,Submission (arm-triangle choke),2,2:11
Light Heavyweight,Gadzhimurad Antigulov,def.,Marcos Rogério de Lima,Submission (guillotine choke),1,1:07
Bantamweight,Johnny Eduardo,def.,Manvel Gamburyan,TKO (punches),2,0:46
Heavyweight,Luis Henrique,def.,Christian Colombo,Submission (guillotine choke),3,2:12
Bantamweight,Pedro Munhoz,def.,Justin Scoggins,Submission (guillotine choke),2,1:55
Light Heavyweight,Darren Stewart,vs.,Francimar Barroso,No Contest (inadvertent headbutt),1,1:34
