Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Carlos Condit,def.,Thiago Alves,TKO (doctor stoppage),2,5:00
Featherweight,Charles Oliveira,def.,Nik Lentz,Submission (guillotine choke),3,1:10
Welterweight,Alex Oliveira,def.,K.J. Noons,Submission (rear-naked choke),1,2:51
Light Heavyweight,Francimar Barroso,def.,Ryan Jimmo,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Francisco Trinaldo,def.,Norman Parke,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Welterweight,Darren Till,def.,Wendell Oliveira,KO (elbows),2,1:37
Featherweight,Rony Jason,vs.,Damon Jackson,No Contest (overturned),1,3:31
Flyweight,Jussier Formiga,def.,Wilson Reis,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Nicolas Dalby,def.,Elizeu Zaleski dos Santos,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Mirsad Bektić,def.,Lucas Martins,TKO (punches),2,0:30
Women's Strawweight,Juliana Lima,def.,Ericka Almeida,"Decision (unanimous) (30–27, 30–27, 30–25)",3,5:00
Welterweight,Tom Breese,def.,Luiz Dutra Jr.,TKO (punches),1,4:58
