Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Georges St-Pierre (c),def.,Dan Hardy,"Decision (unanimous) (50–43, 50–44, 50–45)",5,5:00
Heavyweight,Shane Carwin,def.,Frank Mir,KO (punches),1,3:48
Lightweight,Kurt Pellegrino,def.,Fabricio Camoes,Submission (rear-naked choke),2,4:20
Welterweight,Jon Fitch,def.,Ben Saunders,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Jim Miller,def.,Mark Bocek,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Catchweight (177 lb),Nate Diaz,def.,Rory Markham,TKO (punches),1,2:47
Welterweight,Ricardo Almeida,def.,Matt Brown,Submission (rear-naked choke),2,3:30
Middleweight,Rousimar Palhares,def.,Tomasz Drwal,Submission (heel hook),1,0:45
Light Heavyweight,Jared Hamman,def.,Rodney Wallace,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Matthew Riddle,def.,Greg Soto,Disqualification (illegal upkick),3,1:30
