Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Max Holloway (ic),def.,José Aldo (c),TKO (punches),3,4:13
Women's Strawweight,Cláudia Gadelha,def.,Karolina Kowalkiewicz,Submission (rear-naked choke),1,3:03
Middleweight,Vitor Belfort,def.,Nate Marquardt,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Paulo Costa,def.,Oluwale Bamgbose,TKO (punches),2,1:06
Welterweight,Yancy Medeiros,def.,Erick Silva,TKO (punches),2,2:01
Bantamweight,Raphael Assunção,def.,Marlon Moraes,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
Middleweight,Antônio Carlos Júnior,def.,Eric Spicely,Submission (rear-naked choke),2,3:49
Bantamweight,Matthew Lopez,def.,Johnny Eduardo,TKO (punches),1,2:57
Bantamweight,Brian Kelleher,def.,Iuri Alcântara,Submission (guillotine choke),1,1:48
Women's Strawweight,Viviane Pereira,def.,Jamie Moyle,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Welterweight,Luan Chagas,def.,Jim Wallhead,Submission (rear-naked choke),2,4:48
Flyweight,Deiveson Figueiredo,def.,Marco Beltrán,TKO (corner stoppage),2,5:00
