Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Khabib Nurmagomedov (c),def.,Dustin Poirier (ic),Submission (rear-naked choke),3,2:06
Lightweight,Paul Felder,def.,Edson Barboza,"Decision (split) (27–30, 29–28, 30–27)",3,5:00
Lightweight,Islam Makhachev,def.,Davi Ramos,"Decision (unanimous) (29–27, 30–26, 30–26)",3,5:00
Heavyweight,Curtis Blaydes,def.,Shamil Abdurakhimov,TKO (elbow and punches),2,2:22
Lightweight,Carlos Diego Ferreira,def.,Mairbek Taisumov,"Decision (unanimous) (29–28, 29–27, 29–27)",3,5:00
Women's Flyweight,Joanne Calderwood,def.,Andrea Lee,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Featherweight,Zubaira Tukhugov,vs.,Lerone Murphy,"Draw (split) (28–29, 29–28, 28–28)",3,5:00
Catchweight (138 lbs),Sarah Moras,def.,Liana Jojua,TKO (punches and elbows),3,2:26
Lightweight,Ottman Azaitar,def.,Teemu Packalén,KO (punch),1,3:33
Welterweight,Belal Muhammad,def.,Takashi Sato,Submission (rear-naked choke),3,1:55
Welterweight,Muslim Salikhov,def.,Nordine Taleb,KO (punch),1,4:26
Middleweight,Omari Akhmedov,def.,Zak Cummings,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Don Madge,def.,Fares Ziam,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
