Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Josh Koscheck,def.,Yoshiyuki Yoshida,KO (punch),1,2:15
Welterweight,Mike Swick,def.,Jonathan Goulet,KO (punches),1,0:33
Light Heavyweight,Steve Cantwell,def.,Razak Al-Hassan,Technical submission (armbar),1,4:04
Middleweight,Tim Credeur,def.,Nate Loughran,TKO (rib injury),2,5:00
Lightweight,Jim Miller,def.,Matt Wiman,"Decision (unanimous) (30–27, 30–26, 30–27)",3,5:00
Catchweight (173.5 lbs),Luigi Fioravanti,def.,Brodie Farber,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Steve Bruno,def.,Johnny Rees,Submission (rear-naked choke),2,3:44
Welterweight,Ben Saunders,def.,Brandon Wolff,TKO (knees),1,1:49
Lightweight,Dale Hartt,def.,Corey Hill,TKO (broken leg),2,0:20
Heavyweight,Justin McCully,def.,Eddie Sanchez,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
