Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Stephen Thompson,def.,Rory MacDonald,"Decision (unanimous) (50–45, 50–45, 48–47)",5,5:00
Welterweight,Donald Cerrone,def.,Patrick Côté,TKO (punches),3,2:35
Light Heavyweight,Steve Bossé,def.,Sean O'Connell,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00
Lightweight,Olivier Aubin-Mercier,def.,Thibault Gouti,Submission (rear-naked choke),3,2:28
Women's Flyweight,Joanne Calderwood,def.,Valérie Létourneau,TKO (body kick and punches),3,2:51
Lightweight,Jason Saggo,def.,Leandro Silva,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Light Heavyweight,Misha Cirkunov,def.,Ion Cuțelaba,Submission (arm-triangle choke),3,1:22
Middleweight,Krzysztof Jotko,def.,Tamdan McCrory,KO (punch),1,0:59
Bantamweight,Joe Soto,def.,Chris Beal,Submission (rear-naked choke),3,3:39
Middleweight,Elias Theodorou,def.,Sam Alvey,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Catchweight (117.5 lbs),Randa Markos,def.,Jocelyn Jones-Lybarger,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Welterweight,Colby Covington,def.,Jonathan Meunier,Submission (rear-naked choke),3,0:54
Flyweight,Ali Bagautinov,def.,Geane Herrera,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
