Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Stipe Miocic (c),def.,Alistair Overeem,KO (punches),1,4:27
Heavyweight,Fabrício Werdum,def.,Travis Browne,"Decision (unanimous) (29–28, 29–27, 30–27)",3,5:00
Welterweight,Mickey Gall,def.,CM Punk,Submission (rear-naked choke),1,2:14
Bantamweight,Jimmie Rivera,def.,Urijah Faber,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Strawweight,Jéssica Andrade,def.,Joanne Calderwood,Submission (guillotine choke),1,4:38
Women's Bantamweight,Bethe Correia,def.,Jessica Eye,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Middleweight,Brad Tavares,def.,Caio Magalhães,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Catchweight (158 lbs),Nik Lentz,def.,Michael McBride,TKO (punches),2,4:17
Lightweight,Drew Dober,def.,Jason Gonzalez,KO (punches),1,1:45
Welterweight,Yancy Medeiros,def.,Sean Spencer,Submission (rear-naked choke),2,0:49
