Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Cub Swanson,def.,Jeremy Stephens,"Decision (unanimous) (49–46, 49–46, 48–47)",5,5:00
Catchweight (172.75 lbs),Kelvin Gastelum,def.,Nico Musoke,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Cezar Ferreira,def.,Andrew Craig,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Featherweight,Ricardo Lamas,def.,Hacran Dias,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Middleweight,Clint Hester,def.,Antônio Braga Neto,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Joe Ellenberger,def.,James Moontasri,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Carlos Diego Ferreira,def.,Colton Smith,Submission (rear-naked choke),1,0:38
Bantamweight,Cody Gibson,def.,Johnny Bedford,TKO (punches),1,0:38
Middleweight,Marcelo Guimarães,def.,Andy Enz,"Decision (split) (27–30, 29–28, 29–28)",3,5:00
Flyweight,Ray Borg,def.,Shane Howell,Submission (rear-naked choke),1,2:17
Heavyweight,Aleksei Oleinik,def.,Anthony Hamilton,Submission (neck crank),1,2:18
